doc_id,text
1,john delaney true patriot ran reasons legislators john country inspired team trail john time america
2,campaigning cedar rapids voted trump i’m precinct captains
3,people waukon iowa tonight yanggang excited campaign
4,hours raise hit million goal donate finish line
5,art world
6,event decorah feels people caucus let’s fight future
7,yanggang hours left hit million goal donate let’s crush goal
8,fun axes osage iowa
9,started day event charles city bob
10,reason it’s hard eat trail
11,cam
12,love
13,impeachment coverage riveting
14,chance win energy campaign palpable pumped
15,pics waverly night
16,epic event waverly iowa tonight people moving direction
17,piano recital mason city political event broke let’s move country forward
18,win
19,wonderful event northwood iowa event evelyn human vibrant
20,town hall waldorf university forest city music recital hall alaskan student relayed experience petroleum dividend spoiler likes
21,shoes
22,campaigning washington iowa morning you’re obama bill people didn’t win you’re
23,it’s
24,heard iowa i’m hearing polls underestimating support
25,yanggang hit goal donate let’s hours
26,northern iowa tuesday wednesday evelyn
27,iowa hampshire nevada south carolina yanggang volunteer canvas phonebank textbank donate spread word harder iowa caucuses feb shock world history let’s
28,house grinnell tonight let’s fix generation
29,bus
30,spoke
31,dr martin luther king jr believed leveling playing field poverty eradicated day honor legacy mlkday
32,wonderful experience celebrating mlk annual prayer breakfast drake university morning let’s deliver dr king’s vision guaranteed minimum income
33,event van meter iowa joined yanggang tonight
34,it’s true love
35,pizza pizza
36,talked citizens united event ranked choice voting revitalize democracy
37,evelyn arriving iowa tonight
38,delighted speak citizen’s united forum des moines democracy people money
39,learn iowa caucus here’s
40,jan anniversary dean scream here’s commemorate occasion
41,love country
42,chiefs ers
43,privilege joining union baptist church waterloo morning
44,incredible event waterloo climbing rankings lot people town
45,priscilla
46,hate cerrone washed
47,i’m term limits congress passed exempt current lawmakers pass immediately aligned dynamic legislature time
48,wonderful town hall independence iowa county swung trump let’s swing
49,packed house marion iowa growing fast
50,bus yanggang it’s time iowa
51,tremendous women’s event iowa city
52,dave chappelle america feel agree
53,proud
54,day bus tour iowa begins pumped iowaforyang bring friends
55,yanggang we’ll debate stage feb hampshire let’s
56,david brooks dead wrong record productivity gaps firms individuals don’t chastise left capital efficient spread gains quickly broadly adopt human goals economy
57,messages support evelyn friend bravest woman hope story strength suffered sends message institutions protect respond women
58,love wife
59,changed week campaign people realizing win
60,richard ojeda fan love dc airborne
61,reason succeeded candidates failed humiliation fear what’s humiliating allowing poverty pervasive financial insecurity richest society history world
62,happy anniversary evelyn ago officially luckiest guy world friend can’t wait spend rest life
63,yanggang iowa visit canvas volunteer phonebank textbank linkedin friends live takes let’s iowans excited future
64,universal healthcare passed decades ago lost time pass healthier free pursue
65,evelyn boys coming
66,time
67,missing debate destroyed campaigns fuels that’s yanggang
68,davenport beautiful president
69,i’ll suspend campaign win
70,rolling
71,heading
72,that’s debate i’ll miss
73,record bernie won election november months ago
74,tonight dont forget donate americaneedsyang
75,childcare affordable andrew yangs freedom dividend parent choose stay home child cutting costs revwendy
76,debate opportunity disseminate vision american people andrew reliably time speaking missing boost tonight americaneedsyang
77,feels past months regular season playoffs start monday yanggang ready
78,desperately missing andrew yang’s forward thinking voice tonight st century revwendy americaneedsyang
79,theyd discuss yangs idea giving vote olds speak frankly watching tonight captain midnight americaneedsyang
80,citizens america twitter voice hear candidate andrew yang captain midnight captain midnight
81,friends taking twitter account tonight stay tuned mix comments videos courtesy yanggang fam
82,happening
83,yanggang im live tunein
84,ames friends you’re candidate let’s win feb
85,event burlington giving excited i’ll caucusing
86,let’s hit million goal yanggang it’s fighting time campaign speeding roar finish line white house
87,watching elizabeth bernie dynamic upsetting solve solve i’m that’s attention focused
88,it’s feeling move country forward
89,yanggang remember celebrating birthday let’s celebrate front white house ahead inauguration day
90,cake cake cake cake cake cake cake
91,million goal tomorrow let’s denied yanggang
92,des moines
93,tastes cookie form
94,town hall newton iowa lot people committing caucus
95,tremendous event cedar falls women’s çlub tonight recognize compensate women day
96,peaking time qualified february debate polling nationally net favorability voters chip reach goal momentum
97,miss
98,there’s book cover birthday happen
99,birthday campaign
100,cory booker friend brother running alongside joyous race inspire millions americans miss rosario trail fight continues
101,spotted somers york
102,it’s birthday send money
103,hard debate stage week stage earned let’s february it’s time let’s campaign stopped
104,kid awkward conscious birthday didn’t friends parents social mom birthdays
105,people obvious it’s vital message
106,walking white house
107,evelyn met hampshire
108,town hall
109,tremendous crowd londonderry hampshire excited future let’s win
110,happy birthday living legend
111,manchester canvas kickoff there’s wave coming hampshire
112,volunteers gathering signatures york
113,tremendous heading nashua office canvas win
114,elon cybertruck birthday
115,democratic party ideas
116,dave chappelle road yanggang he’s columbia tonight charleston thursday
117,canvas kick portsmouth office pre birthday wishes
118,stand umbrella
119,supported campaign beginning brand pushing change future country starting february iowa
120,don’t team playoffs i’m pretty rooting lamar jackson ravens
121,iowa can’t call iowa comfort home phonebanking campaign
122,huge crowd dover tonight energized lot volunteers voters feel wave coming
123,it’s birthday iowa
124,packed house hampton hampshire nominee deal
125,likeness
126,packed house bedford voters excited campaign
127,evelyn roundtable domestic sexual violence hampshire
128,charging town hall
129,surge undecided voters iowa sign candidate
130,driving hampshire signs nice yanggang
131,ambitions campaign achieved
132,election hot time growing faster consistently campaign hard chances peak voting starts shock world
133,yanggang tough passionate
134,love iowa
135,phenomenal town hall peterborough tonight ton undecided voters coming evelyn
136,guarantee growing hampshire growing iowa continue hard invest campaign campaign beat let’s grow grow peak time
137,growth iowa yanggang iowaforyang
138,spotted iowa
139,town hall concord tonight reaching people hampshire
140,marianne williamson powerhouse vital message i’m proud friend feel we’ve fortunate race marianne moving country direction you’ll continue
141,packed house wolfeboro lot supporters evelyn
142,packed coffee house conway morning let’s people that’s elections
143,it’s day campaign
144,music car ride
145,amazing portsmouth tonight people told awesome hear
146,pumped
147,what’s touching people support friends reach learn it’s passion stepping leads direction
148,phenomenal crowd durham tonight let’s leave planet condition proud children
149,born chance you’d parents it’s shot declining fast american dream dying people sense kids rewrite rules
150,sitting
151,standing eradication poverty votes tens thousands americans iowa hampshire let’s country
152,i’m andrew yang approve tweet
153,crowd white birch hudson morning lot people i’d won vote wonderful feeling let’s win future
154,ready
155,day
156,crowd merrimack tonight growth hampshire fantastic feel
157,i’m pretty month
158,congrats
159,house share brewing company manchester tonight overflow crowd event
160,i’ll bigger winner win white house
161,fundraising goal million january it’s it’s winning time yanggang let’s white house
162,hampshire drive pictured julian driving evelyn coming tonight
163,it’s cool
164,people solve yanggang solves
165,answers
166,ready
167,that’s
168,evelyn speaking ywca conference hampshire
169,vision spirit strong energy palpable heading win race
170,hampshire coming evelyn
171,prayers brave women serving iraq keeping country safe safe secure families
172,yanggang iowa incredibly invigorating inspiring feel exact experience talking people letting love iowaforyang person talk bridge future
173,campaign growing stronger time grow strong fast passion ground
174,majority voters remain undecided air ideal let’s choice easy message
175,i’ll stop
176,puerto rico forgive debt rebuild earnest
177,likes math
178,congrats krystal saagar
179,it’s wonderful campaign activated people eager human approach politics i’m confident millions americans
180,people answer
181,campaign win bring entire country
182,congrats
183,i’m person people
184,time multi decade lows united mental health freedom substance abuse moving lines starting business married children feel struggling struggling
185,kids alright mental health priority
186,campaign potential triumph human spirit american political history
187,jitney monticello tonight iowaforyang real day
188,yanggang iowa country incredible reason surprise people february
189,iowa
190,tipton iowans fired caucus change
191,awesome bowling clinton iowa stayed politics redefining future
192,endorse president united
193,love pizza ranch visiting iowa check yum
194,current tension iran highlights adopt nofirstuse policy nuclear weapons build failsafes current process accidentally set nuclear war danger false positives increasingly
195,iowaforyang
196,overflow crowd brewed book davenport wave growing fast
197,iran’s capabilities highlight invest lead cybersecurity it’s hard secure infrastructure hacking foreign actors president ensure employ resources people maintain safety security
198,andrew yang hot
199,love yanggang soooo
200,machines
201,awesome breakfast muscatine morning pancakes
202,prefer affect
203,weather nice iowa degrees warmer east coast
204,overflow crowds stop people committing caucus town feels verge iowa let’s pushing
205,iowa tour continues monday
206,vital trust networks carry data
207,phenomenal town hall keokuk understand opportunity country february
208,money swarming iowa hampshire people energy advertisements
209,kobe nba logo jerry west agree
210,packed house fort madison let’s fix future kids
211,mississippi river
212,washington cafe dodici lorraine
213,pastor trey hegar evelyn mt pleasant pleasure join congrats community
214,tremendous fairfield town lot excited
215,saints seahawks win
216,data
217,evelyn coming
218,speaking local bar burlington saturday night politics beer
219,people machines money invented improve lives
220,celebrating campaign office burlington cool office cool
221,hopes administration level playing field women top levels government
222,event mount pleasant taking democracy heart
223,town hall jobs ottumwa mary stewart evelyn
224,bills patriots win
225,knoxville iowa talk future anne fields warm introduction
226,people australia ravaged wildfires
227,hundreds people heading iowa canvas knock doors awesome join email join
228,purpose allies surprise enemies
229,iowa yanggang it’s rush hour
230,perry iowa wave redefine country begin
231,we’re bigger space
232,serve kiosks mcdonalds iowa damian calls mcds mcdonald loves
233,landed iowa excited
234,iowa coming evelyn joining
235,campaign proof democracy exists america praise
236,hampshire blast celebrating history alongside entire country forward
237,people money opposite isn’t true
238,standing class compliment day
239,campaigning nevada iowa i’m glad you’re candidate
240,war iran american people acting deescalate tensions protect people region
241,fantastic town hall rochester crowds hampshire signal wave coming
242,car hampshire listening
243,crowd plymouth office told skeptical voting that’s love hear let’s win future
244,yanggang hit single fundraising goals quarter absolutely shattered previous record donation helps reach voters that’s win
245,stop confusing human economic dont exist serve market market exists serve
246,protect women’s reproductive rights codify roe wade law
247,speaking concord school let’s fix
248,voter keene yangcurious yangcomforted i’ll voting
249,it’s time capitalism evolve focus families communities
250,iowa won’t anymore
251,it’s january let’s
252,interview
253,congrats julian run tremendous race elevated issues americans feel left left continue fight
254,energy support yanggang happen chance win let’s campaign white house
255,yanggang let’s campaign white house
256,excited report millionth donation neared total donors thousands donors past week yanggang growing lot faster campaigns shock world february
257,understand logic st day decade
258,larger life keene office nhpolitics yanggang
259,packed house office keene future hands hampshire let’s fix kids
260,narrative taking climate change isnt popular fossil fuel industry data tells story favor expanding solar farms support law requiring homes solar panels environmental regulations worth cost
261,event tonight council bluffs
262,rip david stern
263,julian speeding ticket
264,huge crowd lebanon hampshire people tough don’t mind cold yanggang energy growing day
265,i’ve lots setbacks stories
266,ran friends hampshire
267,huge crowd nashua arbor restaurant ring
268,it’s
269,rang surrounded yangganglove nashua beginning era america
270,yanggang stop pumped days ahead giving chance change history let’s
271,happy yanggang million days million hours power campaign change country people let’s history inauguration party
272,canvass launch council bluffs
273,stopped stark brewing company manchester crowd yanggang let’s win
274,paul
275,job yanggang hit million goal hit million midnight
276,relative normalcy advantage running president
277,amazing yanggang million tonight let’s history
278,epic crowd chuck’s barbershop concord celebrating year’s eve times hampshire rocks
279,fantastic crowd rockingham brewery company derry love businesses community stronger
280,yanggang fill blank theme song choosemydj yang
281,overflow crowds hampshire
282,bigger jobs future based communities values narrow conception market desires retraining programs proven ineffective time
283,event sioux city huge
284,yanggang donate finish line couldn’t
285,spent trillion iraq war trillion middle east
286,yanggang let’s history shock world easy
287,waking exeter feels familiar what’s tv ad tv yanggang pollthepeople
288,year’s resolution president elect united america
289,exeter graduated school i’m lot popular apparently sibi
290,people thinking i’d won holy cow win
291,packed house coffee coffee salem hampshire
292,feel it’s easier benefit doubt
293,we’ve qualified debate we’ve donate reach goal january
294,heading editorial board meeting boston globe morning
295,son misbehaving nice people son it’s it’s hard happy people don’t spend time
296,mindset abundance makes tremendous
