Issue,year,value
Economy,2019-06-01,6470
Climate and Energy,2019-06-01,2507
Defense,2019-06-01,5391
Taxes,2019-06-01,2181
Poverty,2019-06-01,2482
Healthcare,2019-06-01,1680
Economic Inequality,2019-06-01,451
Civil Rights & Discrimination,2019-06-01,8075
Labor Rights ,2019-06-01,401
Education & Student Debt,2019-06-01,3360
Economy,2019-06-02,10357
Climate and Energy,2019-06-02,4137
Defense,2019-06-02,5266
Taxes,2019-06-02,3210
Poverty,2019-06-02,1153
Healthcare,2019-06-02,5717
Economic Inequality,2019-06-02,1228
Civil Rights & Discrimination,2019-06-02,11109
Labor Rights ,2019-06-02,326
Education & Student Debt,2019-06-02,3836
Economy,2019-06-03,9053
Climate and Energy,2019-06-03,3811
Defense,2019-06-03,6169
Taxes,2019-06-03,13391
Poverty,2019-06-03,6219
Healthcare,2019-06-03,4413
Economic Inequality,2019-06-03,1003
Civil Rights & Discrimination,2019-06-03,9981
Labor Rights ,2019-06-03,601
Education & Student Debt,2019-06-03,6545
Economy,2019-06-04,14394
Climate and Energy,2019-06-04,26808
Defense,2019-06-04,10307
Taxes,2019-06-04,16601
Poverty,2019-06-04,1780
Healthcare,2019-06-04,2231
Economic Inequality,2019-06-04,225
Civil Rights & Discrimination,2019-06-04,15598
Labor Rights ,2019-06-04,1003
Education & Student Debt,2019-06-04,8376
Economy,2019-06-05,24401
Climate and Energy,2019-06-05,37141
Defense,2019-06-05,4664
Taxes,2019-06-05,11260
Poverty,2019-06-05,2833
Healthcare,2019-06-05,4539
Economic Inequality,2019-06-05,1078
Civil Rights & Discrimination,2019-06-05,10733
Labor Rights ,2019-06-05,2608
Education & Student Debt,2019-06-05,16877
Economy,2019-06-06,16250
Climate and Energy,2019-06-06,10858
Defense,2019-06-06,4413
Taxes,2019-06-06,6445
Poverty,2019-06-06,2131
Healthcare,2019-06-06,3460
Economic Inequality,2019-06-06,2633
Civil Rights & Discrimination,2019-06-06,9755
Labor Rights ,2019-06-06,3310
Education & Student Debt,2019-06-06,10106
Economy,2019-06-07,13617
Climate and Energy,2019-06-07,16626
Defense,2019-06-07,2507
Taxes,2019-06-07,11686
Poverty,2019-06-07,2457
Healthcare,2019-06-07,7598
Economic Inequality,2019-06-07,4714
Civil Rights & Discrimination,2019-06-07,11310
Labor Rights ,2019-06-07,2532
Education & Student Debt,2019-06-07,7423
Economy,2019-06-08,8501
Climate and Energy,2019-06-08,7749
Defense,2019-06-08,3159
Taxes,2019-06-08,8576
Poverty,2019-06-08,1630
Healthcare,2019-06-08,8175
Economic Inequality,2019-06-08,2909
Civil Rights & Discrimination,2019-06-08,8677
Labor Rights ,2019-06-08,1053
Education & Student Debt,2019-06-08,5843
Economy,2019-06-09,9680
Climate and Energy,2019-06-09,8175
Defense,2019-06-09,5968
Taxes,2019-06-09,3862
Poverty,2019-06-09,1379
Healthcare,2019-06-09,4263
Economic Inequality,2019-06-09,1429
Civil Rights & Discrimination,2019-06-09,6043
Labor Rights ,2019-06-09,6645
Education & Student Debt,2019-06-09,4112
Economy,2019-06-10,5742
Climate and Energy,2019-06-10,6169
Defense,2019-06-10,16677
Taxes,2019-06-10,7799
Poverty,2019-06-10,1429
Healthcare,2019-06-10,4338
Economic Inequality,2019-06-10,526
Civil Rights & Discrimination,2019-06-10,6545
Labor Rights ,2019-06-10,3310
Education & Student Debt,2019-06-10,7147
Economy,2019-06-11,15623
Climate and Energy,2019-06-11,7874
Defense,2019-06-11,14645
Taxes,2019-06-11,7021
Poverty,2019-06-11,1203
Healthcare,2019-06-11,9128
Economic Inequality,2019-06-11,2633
Civil Rights & Discrimination,2019-06-11,7272
Labor Rights ,2019-06-11,1253
Education & Student Debt,2019-06-11,8300
Economy,2019-06-12,23097
Climate and Energy,2019-06-12,5918
Defense,2019-06-12,10557
Taxes,2019-06-12,5868
Poverty,2019-06-12,2608
Healthcare,2019-06-12,13467
Economic Inequality,2019-06-12,3084
Civil Rights & Discrimination,2019-06-12,14470
Labor Rights ,2019-06-12,2407
Education & Student Debt,2019-06-12,5692
Economy,2019-06-13,20338
Climate and Energy,2019-06-13,3009
Defense,2019-06-13,9931
Taxes,2019-06-13,26532
Poverty,2019-06-13,2257
Healthcare,2019-06-13,17404
Economic Inequality,2019-06-13,1354
Civil Rights & Discrimination,2019-06-13,10608
Labor Rights ,2019-06-13,2131
Education & Student Debt,2019-06-13,6670
Economy,2019-06-14,17028
Climate and Energy,2019-06-14,3310
Defense,2019-06-14,5015
Taxes,2019-06-14,15322
Poverty,2019-06-14,1655
Healthcare,2019-06-14,6018
Economic Inequality,2019-06-14,1579
Civil Rights & Discrimination,2019-06-14,9705
Labor Rights ,2019-06-14,1479
Education & Student Debt,2019-06-14,12764
Economy,2019-06-15,12564
Climate and Energy,2019-06-15,2156
Defense,2019-06-15,4815
Taxes,2019-06-15,11887
Poverty,2019-06-15,2206
Healthcare,2019-06-15,3962
Economic Inequality,2019-06-15,5542
Civil Rights & Discrimination,2019-06-15,11385
Labor Rights ,2019-06-15,2557
Education & Student Debt,2019-06-15,7749
Economy,2019-06-16,9579
Climate and Energy,2019-06-16,4112
Defense,2019-06-16,4539
Taxes,2019-06-16,5391
Poverty,2019-06-16,2808
Healthcare,2019-06-16,5166
Economic Inequality,2019-06-16,2156
Civil Rights & Discrimination,2019-06-16,9153
Labor Rights ,2019-06-16,5542
Education & Student Debt,2019-06-16,13040
Economy,2019-06-17,12865
Climate and Energy,2019-06-17,4840
Defense,2019-06-17,5366
Taxes,2019-06-17,11009
Poverty,2019-06-17,5266
Healthcare,2019-06-17,6420
Economic Inequality,2019-06-17,5090
Civil Rights & Discrimination,2019-06-17,14520
Labor Rights ,2019-06-17,3009
Education & Student Debt,2019-06-17,5241
Economy,2019-06-18,12363
Climate and Energy,2019-06-18,3460
Defense,2019-06-18,7272
Taxes,2019-06-18,9905
Poverty,2019-06-18,6344
Healthcare,2019-06-18,4865
Economic Inequality,2019-06-18,2909
Civil Rights & Discrimination,2019-06-18,29291
Labor Rights ,2019-06-18,6495
Education & Student Debt,2019-06-18,5141
Economy,2019-06-19,22971
Climate and Energy,2019-06-19,2608
Defense,2019-06-19,7322
Taxes,2019-06-19,8075
Poverty,2019-06-19,4940
Healthcare,2019-06-19,14495
Economic Inequality,2019-06-19,9379
Civil Rights & Discrimination,2019-06-19,31999
Labor Rights ,2019-06-19,3109
Education & Student Debt,2019-06-19,6495
Economy,2019-06-20,19786
Climate and Energy,2019-06-20,4112
Defense,2019-06-20,12764
Taxes,2019-06-20,12188
Poverty,2019-06-20,3460
Healthcare,2019-06-20,14645
Economic Inequality,2019-06-20,9705
Civil Rights & Discrimination,2019-06-20,43661
Labor Rights ,2019-06-20,7498
Education & Student Debt,2019-06-20,11260
Economy,2019-06-21,9931
Climate and Energy,2019-06-21,4639
Defense,2019-06-21,4614
Taxes,2019-06-21,10131
Poverty,2019-06-21,2181
Healthcare,2019-06-21,8200
Economic Inequality,2019-06-21,6194
Civil Rights & Discrimination,2019-06-21,37868
Labor Rights ,2019-06-21,4037
Education & Student Debt,2019-06-21,8852
Economy,2019-06-22,8200
Climate and Energy,2019-06-22,2307
Defense,2019-06-22,10357
Taxes,2019-06-22,4940
Poverty,2019-06-22,1905
Healthcare,2019-06-22,10482
Economic Inequality,2019-06-22,1705
