document,topic,gamma,text
8,1,0.998123975,Look this is a very personal to me. When my wife and daughter were killed in an automobile accident my two boys were really very badly injured. I couldn't imagine what it'd be like had I not had adequate healthcare available immediately. And then when my son came home from Iraq after a year he was diagnosed with terminal cancer and he was given months to live. I can't fathom what would have happened if in fact they said by the way the last six months of your life you're on your own. We're cutting off. You've used up your time.
9,1,0.991264347,The fact of the matter is that the quickest fastest way to do it is build on Obama Care to build on what we did.
11,1,0.987436035,Takes down Obama Care and any republican who wants to get rid of it.
16,1,0.995772669,The other thing is folks look we can deal with these insurance companies. We can deal with insurance companies by number one putting insurance executives in jail for their misleading'their misleading advertising
28,1,0.993304504,I did not oppose bussing in America. What I opposed is bussing ordered by the Department of Education. That's what I opposed. I did not oppose'
52,1,0.983910504,Informed consent of the American people.
63,1,0.99691127,If you noticed there is no talk about the fact that the plan in 10 years will cost $3 trillion. You will lose your employer based insurance. And in fact you know this is the single most important issue facing the public. And to be very blunt and to be very straightforward you can't beat President Trump with doubletalk on this plan.
88,1,0.987436035,With regard to  with regard to the secretary's point I already proposed and passed
89,1,0.993304504,$750 million for Guatemala El Salvador and Honduras to be able to change the circumstance why people fled in the first place.
93,1,0.99691127,I agree with the Senator. The asylum process is a real process and this president is ruining it. It has nothing to do with that section of law. That's what he's doing number one. Number two we should in fact  and we had proposed and we tried to get passed in our administration I proposed significantly increasing the number of legal immigrants who are able to come.
103,1,0.996315899,Right now we're in a situation where when someone is convicted of a drug crime they end up going to jail and to prison. They should be going to rehabilitation. They shouldn't be going to prison. When in prison they should be learning to read and write and not just sit in there and learn how to be better criminals.
104,1,0.996062934,And when they get out of prison they should be in a situation where they have access to everything they would have had before including Pell grants for education including making sure that they're able to have housing public housing including they have all the opportunities that were available to them because we want them to become better citizens.
119,1,0.994004598,Along came a federal judge and said enough enough. And he freed 1000 of these people. If you doubt me google 1000 prisoners freed Kamala Harris.
131,1,0.99241929,Number three number three I also was asked as the mayor of Detroit can tell you by the president of the United States to help Detroit get out of bankruptcy and get back on its feet. I spent better part of two years out here working to make sure that it did exactly that.
157,1,0.977634638, Thank you. Thank you very much. And thank you Mr. Mayor for Detroit hosting this.
