doc_id,text
1,proud
2,educator school board leader
3,virginians voted candidates support gun violence prevention legislation majority americans including majority gun owners support reform silenced intimidated istandwithvirginia fight alongside gun violence
4,congratulations community
5,profit detention companies donated generously donald trump theyve millions implementing trump’s cruel immigration policies corruption pure simple ill fight permanently ban profit prisons detention centers
6,im heartsick mustafa kassem family imprisoned negligent medical care donald trump praised dictator held prisoner refused hold accountable stand human rights
7,plan engage communities listening learning uplift voices team lived experiences shape plans movement change
8,honor life legacy dr martin luther king jr fight social racial economic justice honor struggles triumphs honor courage vision
9,guess
10,im grateful single endorsements ill fighting family opportunity thrive
11,we’re curve families suffering paid family medical leave workers
12,republicans trump administration hoping supreme court extreme plans limit access abortion birth control ive plan protect matter supreme court
13,amazon billion profits paid federal income taxes won’t happen im president calculator corporations pay pay fair share
14,trump administration weaken law bars american companies bribing foreign officials that’s corruption plain simple plan reform global financial system fight corruption home abroad
15,it’s hard business owner pay taxes companies amazon administration fight influence corporate money government people giant corporations
16,ago mobs white residents descended black wall street tulsa oklahoma ransacking black businesses murdering hundreds african americans tulsa race massacre worst incidents racist violence nations history
17,fight hear i’m fighting hard fight family chip call
18,chance stand money government people newton iowa
19,let’s government health policy based what’s american people what’s donald trump
20,trump administrations cruelty limits warren administration we’ll treat immigrants refugees dignity respect
21,voting started yesterday minnesota jared davis camped cold cast votes it’s honor makes feel deeply humbled grateful call
22,stand solidarity marching country florida york chicago we’ll fighting equal world
23,campaign run volunteers suzanne don’t live iowa we’re counting join warrenroadwarriors program knock doors
24,plan disability rights equality grew community im grateful contributions advocates
25,i’m fighting families carolyn’s grinnell iowa student loan debt crisis it’s plan start canceling millions americans day weren’t crushed student loan debt
26,white supremacists people hateful ideologies kinds feel empowered protected donald trump stop warren administration we’ll force justice department fight head
27,iowa caucuses february can’t wait people iowa ready voices heard follow
28,trump administration giant corporations amazon it’s wealthy connected power chip campaign let’s power hands american people
29,dont endorsements lightly i’m committed ensure level playing field latinx community
30,i’m grateful time knock doors phone calls build movement structural change we’re win you’re ready join fight sign road warrior
31,i’m return survey national committee
32,broken capital punishment system decided fate people people color death penalty america
33,barclays bankers flat wrong wealthtax they’re scared wealthy connected terrified losing power profits it’s time power belongs hands people
34,effectively beat infectious diseases coronavirus hands deck trump’s approach keeping safe disease outbreaks mess hes fix damage hes ive plan
35,student loan debt crisis growing larger crushing entire generation holding economy act day presidency start cancelling student debt relief families
36,born raised oklahoma ragged edge middle class imagined id home candidate president united
37,moments country challenge mobilize meet head imagine world fight
38,youve waiting moment fight hands deck knock doors phone calls talk neighbors plan caucus text gotc started
39,heres promise ill fight family hard fight
40,fear doesnt win courage vision hope win
41,florida voted restore voting rights million fellow citizens republicans undermine people fight voter suppression florida nationwide
42,ive brothers john david don reed republicans united common values fighting families communities
43,corruption plain simple root
