doc_id,text
1,iowans feb chance twofer ruin donald trumps night ruin senator ernst’s
2,climate change poses existential threat future running time address donald trump white house rally world meet urgency moment
3,trump discarded iran nuclear deal promised produce curb iranian aggression reverse happened iran restarted nuclear program provocative i’ll return smart disciplined diplomacy address threats
4,ago violence women act signed law forever changing culture sexual assault domestic violence nation proudest accomplishments finish job vawa
5,president obama oversee effort bring home combat troops i’ll record judgment terms person commander chief demdebate
6,i’m step stage tonight’s demdebate iowa follow live
7,what’s tearing country fixed treat basic dignity respect starts president leads
8,donald trump sided corporations american workers easier wage theft overtime violations time workers rights corporate greed ensure workplace protections deserve
9,we’re battle soul nation donald trump poison soul fanned flames hatred bigotry embraced dictators ripped children parents arms degraded national character white house
10,obsessed president
11,im married teacher firsthand difficult weve educators job students succeed means paying salaries deserve giving respect theyve earned
12,day donald trump determined roll environmental protection hands time climate crisis pushing planet brink strengthen protections weaken
13,stakes election donald trump fundamentally alter character nation happen power term president
14,im grateful endorsement
15,tired poor huddled masses absolutely fleeing violence
16,transit workers attacked day buses moving putting bus drivers riders harms strongly support transit worker pedestrian protection act protect workers harm job
17,donald trump strategy iran endgame crisis diplomacy eyed hard nosed diplomacy grounded strategy decisions upmanship
18,administration arguing court repeal protections people pre existing conditions youre health care millions people honest
19,cory campaigned joy heart talking bringing people day politics running grateful forward continued leadership
20,puerto rico treated happened america wrong surging fix damage earthquakes
21,there’s enormous opportunity rid donald trump address climate emergency build inclusive middle class build obamacare ensure government powerful
22,trump’s reckless policies needlessly endangered middle east illusions iranian regime iranian people people peaceful protest world support
23,gracias por su apoyo mayor
24,endorsement mayor
25,congrats
26,congratulate friend iowa attorney tom miller history ive tom afraid tough fights served honor integrity iowa nation
27,ive firsthand hard educators pay resources deserve time support educators giving pay dignity deserve
28,nation simply accept kids learn active shooter drills abcs
29,congratulations president tsai people taiwan successful election stronger free society united continue strengthening ties taiwan minded democracies
30,teamsters local striking asarco unfair labor practices called picket line support company provide workers pay benefits theyve earned pulls billion profits
31,firefighters represent america courageous selfless answering call duty im grateful heading friends australia battle devastating wildfires
32,nation immigrants strengths diversity stronger donald trump doesn’t
33,mistake situation iran crisis donald trumps brought brink war plan strategy erratic incompetent commander chief weve
34,ive released tax returns havent released president release taxes hush corruption
35,donald trump brought dangerously close starting war iran semblance plan moment requires leader ready day pick pieces repair damage trump caused
36,jill sending prayers bryant family lost loved today’s crash it’s reminder special fragile life it’s reminder we’ve day count
37,started cancer moonshot generation finally cures cancer slash billion cancer funding lucky cancer rate luckier congress stopped
38,election soul america nation epidemic school shootings continue troubled soul beat
39,facebook continues profits truth allowing politicians donald trump spend unthinkable amount money paid disinformation democracy worse failure confront
40,donald trump don’t dark petty angry vision america choose perfect union aspired restore soul nation
41,im thankful hurt nights attack mess donald trump pulled iran deal advisors allies strategy
42,gabby strongest people resilience shown remarkable im inspired courage tragedy purpose grateful relentless determination country safer
43,days federal minimum wage raised it’s unacceptable raising minimum wage hour nationwide starting ensuring workers receive pay deserve
44,pope francis absolutely nation moral obligation ensure access care health care privilege
45,rebuild middle class time people historically left middle class due race gender sexual orientation disability religion chance included success
46,i’m hold commenting news tonight jill keeping troops americans overseas prayers hope you’ll
47,mistake days lie ahead act america accomplish
48,donald trump endless wars middle east bringing dangerously close starting
49,estoy con el pueblo de puerto rico nuestros conciudadanos en este momento de necesidad es inconcebible gran parte del arduo trabajo de la recuperación ante desastres aún se haya hecho tenemos ofrecer apoyo concreto puerto rico antes de se pierdan más vidas
50,stand people puerto rico fellow citizens moment it’s unconscionable hard disaster recovery continues left undone weve deliver concrete support puerto rico lives lost
51,nicolás maduro dictator strongly condemn regime’s violent takeover venezuelan national assembly country’s sole remaining democratic institution
52,donald trump reckless incompetent commander chief weve day directs american national security dangerous day world white house chip term president
53,pm ill speaking escalating situation iran imperative restore respected responsible dignified leadership world stage tune watch live
54,trump ignore climate science infrastructure decisions biden administration dollar spent rebuilding roads bridges buildings electric grid water infrastructure reduce withstand changing climate
55,día de los reyes christmas close reminded call kings expectation seek peace matter journey bright future reach jill happy kings day
56,donald trump authority war iran congressional approval president nation war informed consent american people
57,john deere laying round workers iowa donald trumps reckless trade war hes succeeded taking jobs american workers stop
58,seas rising australia burning moment crisis president windmills cancer solving climate crisis starts beating donald trump pass ambitious climate plan
59,stand solidarity marching york rise anti semitism battle soul nation reject intolerance forms hate safe harbor
60,statue liberty invites tired poor huddled masses yearning breathe free donald trump slammed door families fleeing persecution violence jill traveled matamoros shed light policies hurt asylum seekers
61,crisis donald trump’s claimed pulling iran deal deter iranian aggression result deal failed counts erratic incompetent commander chief we’ve
62,hey
63,walls close guy irrational
64,world burning donald trump continues deny evidence climate change eyes white house urgent global action combat climate crisis it’s late
65,simply shouldn’t happen america folks deserve access affordable quality term care homes fight alex term care
66,overcome donald trump white house forever fundamentally alter character nation happen
67,trail hear countless stories folks lives changed obamacare afford start president protect build ensure access quality affordable care
68,prospect direct conflict iran donald trump strategy administration suggests prepared deal risks confront
69,firefighters represent america lives line single day selflessly rush danger save im grateful endorsement
70,leader ready day pick pieces donald trumps broken foreign policy repair damage caused world
71,world set edge erratic unstable dangerously incompetent commander chief stakes day donald trump directs american national security dangerous day united world
72,statement killing qassem soleimani
73,donald trump stacked supreme court justices overturn roe wade republicans seizing opportunity restrict womans constitutional choose fight attacks ensure choice remains woman doctor
74,day mass shootings country moral obligation power gun violence epidemic
75,holidays jill walked gateway international bridge matamoros mexico families enduring inhumane conditions jill witnessed cruelty trumps policies resiliency risking lives seek asylum
76,youre teacher firefighter youre paying taxes amazon netflix weve corporations pay fair share
77,im excited share raised million quarter biggest quarter campaign chipped support means world heart campaign
78,vicky president restore integrity white house
79,privilege secretary
80,american deserves access safe clean drinking water hold polluters accountable rid water unsafe levels chemicals
81,day donald trump remains white house future planet risk beat november action address climate emergency
82,election soul nation donald trump poison soul
83,month iowa caucus hands deck talk folks whats stake election join team
84,single human deserves treated dignity poor powerless marginalized vulnerable animating principle life faith
85,final fundraising deadline hours donation helping donald trump term president chip midnight reach goal
86,move beat donald trump country
87,record violence moral failure elect leaders courage
88,administration donald trump defeat chip midnight deadline
89,repair damage betsy devos schools students educators deserve secretary education values public schools educator
90,donald trump’s trade war lead job losses prices it’s leading job losses prices didnt read art deal textbook definition failed negotiation
91,happy lunar celebrating country im grateful contributions aapi community enrich americas diversity hope rat brings fortune health happiness
92,tomorrow marks fundraising deadline reach goal campaign relies supporters giving time chip strong note
93,health care luxury reserved afford it’s deserve central dignity country
94,dad joey sin abuse power democracy risk we’ve fight donald trump democrats republicans independents alike
95,scripture it’s world it’s duty including leading world addressing climate crisis providing roadmap citizenship contributing communities
96,congressman lewis fought building fair country fight cancer john jill sending prayers family faith fight
97,america time live poverty line it’s past time raise minimum wage hour provide reliable pathway middle class
98,donald trump stop sabotage obamacare roll progress weve protect aca build ensure american access quality affordable care
99,horrifying rise antisemitism tearing fabric communities soul nation weve stand country fight flames hatred deepest sympathies victims families jewish community
100,democracy trouble we’re breaking president rise personal attacks reach unite nation act america can’t accomplish
101,clarify yesterday public life complied lawful vp office unlike donald trump mike pence cooperated legitimate congressional oversight requests
102,favorite campaign trail meeting folks country hearing stories team picking lucky person sit cup joe chip chance win
103,fundraising deadline quickly approaching reach goal investments iowa win days caucus dollar chip
104,donald trump threat future planet rolled regulations methane leaks auto pollution clean water protections endangered species protections white house
105,victory fight voting rights voting easier harder ensure american voice heard ballot box
106,american people decide nation importantly president donald trump
107,jill send wishes celebrating kwanzaa start day reflection rich heritage african american culture remembering principles
108,donald trump cutting food assistance people found billion sham border wall administration morally bankrupt
109,merry christmas entire biden family means dogs
110,time loved peace laughter joy merry christmas happy holidays love family
111,hope fun holiday answering questions
112,denying existential threat climate change time running address donald trump white house planet recover
113,remember impeachment donald trump trial hes afraid run i’ll beat november
114,let’s transgender equality civil rights issue time compromise basic human rights
115,it’s simple companies compete workers compete customers rid compete clauses poaching agreements suppress wages
116,firefighters tirelessly communities safer live president supports rewards wealth
117,can’t scourge gun violence tear communities
118,donald trump release taxes shut corruption
119,corrupt administration modern american history president task restoring faith american government root corruption ensure government people powerful
120,battle soul nation can’t sit hate crimes surge fueled president fans flames white nationalism it’s reject intolerance forms hate safe harbor
121,sameach
122,americas farmers undermined trumps broken promises iowa president word
123,donald trump makes feel chip white house
124,i’ve dedicated life public service president honors duty
125,betsy devos trump administration students educators strong advocates white house repair damage caused theyll
126,michael cohen michael flynn rick gates paul manafort george papadopoulos roger stone donald trump surrounded people flout laws shouldn’t surprised law deserve country
127,reason angry republicans it’s love they’ve attacked family unite country
128,tj stay strong jill biden family spirit attitude beat celebrate love
129,rebuild backbone country middle class time ensure
130,don’t care you’re undocumented immigrant asylum seeker born forcing people choose reunited kids risking arrest sets standard cruelty idea stephen miller’s responsibility trumps
131,champ major vet care caretakers paid fair wage workplace
132,days it’s time
133,i’m optimistic future elected senate act america accomplish
134,night tonight’s demdebate support let’s momentum chip fuel campaign
135,china commits enormous human rights abuses denies citizens access basic information trump president human rights wont blacked conversation
136,troops diagnosed traumatic brain injury iranian missiles struck base iraq donald trump brought brink war dismissed injuries headaches idea commander chief lightly disgusting
137,weve level american people dont play games truth authentic
138,bring empathy white house chip
139,stepped tonights demdebate stage discussed bold vision future ill deliver real change american families night chip momentum
140,i’ve life overcome stutter it’s honor mentor kids experienced it’s called empathy
141,ability change beat trump flip senate ideas change candidate stage demdebate
142,climate emergency enormous opportunity nation action donald trump white house tackle crisis demdebate
143,let’s medicare private health coverage eliminates millions jobs increases taxes middle class demdebate
144,skeptic afghanistan learn lessons past past time america’s war focus achievable narrow counterterrorism mission demdebate
145,refuse accept notion cooperation that’s we’re dead country can’t convince beat demdebate
146,united partners half global gdp stand china won’t withstand pressure mobilizing allies meet challenge driving demdebate
147,stakes election couldn’t day donald trump sits oval office poses threat america world beat
148,americas commitment israel’s security unwavering obama biden administration provided unprecedented levels assistance including iron dome true peace security israelis palestinians requires solution trump set
149,reason angry republicans cooperate theyve attacked son family love convince beat demdebate
150,restore integrity office presidency time underway demdebate
151,middle class killed farmers midwest couldn’t pay bills middle class shot that’s change presidency demdebate
152,science action president unprecedented action home abroad tackle climate crisis head demdebate
153,north star president rebuilding backbone country middle class i’m time demdebate
154,house carried constitutional duty impeaching donald trump outcome senate stay focused ensure doesn’t elected term join
155,i’m step stage tonight’s demdebate la follow live
156,childrens future success america stands shoulders public school educators educators deserve fair wages resources jobs
157,defining characteristic trump administration abuse power
158,immigrants country stronger diversity strength donald trump doesnt president
159,joe burrow hard reach pinnacle college football forgot everyday struggle community joe humility inspiring reminding forget fortunate
160,john dingell american patriot selfless public servant debbie dingell carried legacy house grace dignity equally cruel pathetic unconscionable president behave
161,donald trump failed repeal aca congress courts sabotage threatening protections million people pre existing conditions process protect obamacare build
162,president trump abused power violated oath office betrayed nation solemn moment country united america law president
163,days iowa caucus talk voters country whats stake election difference live
164,deberíamos dedicar las mentes más brillantes de estados unidos resolver la epidemia de violencia armada estos fondos para la investigación sobre las causas la prevención de la violencia armada debieron haberse otorgado hace mucho tiempo
165,rebuild backbone country middle class time we’re ensure
166,hate didn’t begin donald trump won’t defining moment nation’s history moment called fight forces hate intolerance weve battled history
167,dedicating america’s brightest minds solving gun violence epidemic funding research prevention gun violence overdue
168,glad hear
169,president enormous task picking pieces left president trump salvage reputation rebuild confidence leadership mobilize world meet challenges time lose
170,time federal workers paid parental leave congratulations
171,president children
172,day donald trump sits oval office proves morally unfit lead country term president
173,let’s call wing effort influence elections harder folks vote fight partisan attacks democracy ensure voice heard ballot box
174,time waste addressing existential threat climate change president ready day rally world meet urgency crisis
175,donald trump elected fundamentally alter character nation forever happen
176,amazon netflix motors chevron starbucks corporations paid federal income taxes wrong time corporations pay fair share
177,news enrollment deadline extended december head
178,dad dont budget ill budget cuts social security medicaid protecting giveaways wealthiest youve shown
179,poll losing
180,im grateful support birmingham mayor randall woodfin time remember americans treat dignity hate safe harbor leave
181,president i’ll partner american farmers combat climate change agriculture world achieve net emissions giving farmers source income process
182,kids families suffered unimaginable horror loss past weekend day sandy hook massacre won championship hope teach lesson resilience tragedy
183,capacity gun violence epidemic president
184,administration extend deadline plain simple personal can’t trump sabotage obamacare prevent thousands people care access
185,health care personal americans that’s i’ll stop fighting ensure peace mind quality affordable health care
186,gotta beat trump we’ll strong strategic ground game run top notch organizers happen
187,day obamacares enrollment coverage head
188,favorite road visit neighborhoods talk voters greg conversation makes optimistic future country
189,news utah child subjected vile immoral practice conversion therapy ban federal level person affirmed accepted
