doc_id,text
1,mayor pledged ensure lgbtq yorkers protected hatred violence discrimination president i’ll extend pledge america proud friend
2,running campaign americans president serve americans road we’re americans join
3,spoke bloomberg supporters oakland ca climate change public transit care planet’s future
4,cities finding innovative citizens involved solving improving services congrats
5,spearheading investment transportation infrastructure advocating level people call city home oakland mayor
6,hes real mccoy
7,tobacco targets children profits expense american lives trump special ahead people fought beaten tobacco president ill continue fight
8,rode bart oakland ca i’m believer public transport ability reduce carbon footprint that’s i’m investing public transportation centerpiece strategy cutting carbon pollution
9,people don’t pollute clean transportation plan reduce pollution traffic fuel costs cut carbon pollution
10,building campaign tough fights win thrilled strong pragmatic leader
11,expert vanity projects heres youve usa tax cut people didnt complete surrender gun lobby total rollback environmental protections broken promise protect pre existing conditions
12,debate dont qualify ive penny contributions loan million dollars
13,business government issues matter women white house committed advancing inclusive agenda women womenformike
14,it’s time washington dc puerto rico representation congress minority senators block let’s votes
15,pulse nightclub shooting
16,president ill create nations wildfire corps federal tribal partnership we’ll prioritize hiring rural amp forest communities fires break we’ll provide communities firefighters
17,todays decision floridas supreme court extends ugly history voter suppression america youve incarcerated served time deserve regain fundamental vote
18,staggering cost health care country leaving millions americans struggling unacceptable recently met meaghan kilner time cancer survivor alexandria virginia honest conversation true cost health care
19,avoid worst impacts climate change rapidly reducing carbon pollution investing clean energy equip communities cope climate impacts i’m announcing plan resilience
20,wildfires western quadrupled frequency burning times land fires displace people homes contribute carbon emissions strategy fires
21,combatting climate change isn’t giving investing cleaner air water cheaper power jobs elect president whos climate denier
22,trump tower trump properties nyc millions fines meeting green building regulations unlike climate denier chief data getitdone
23,success life i’ve strong women celebrate launch womenformike nyc tonight
24,defeat trump november women rose tonight we’re celebrating launch womenformike york watch live
25,fight lgbtq equality justice president protect lgbtq community hatred violence discrimination
26,i’m honored support voters audrey smaltz passion contagious faith humbling i’ll proud womenformike
27,equality rights law denied abridged account sex va approve words shouldve approved time ago progress moving slowly direction
28,measures clean buildings initiative cut pollution pathway decarbonization mid century actionable attainable goals shape save future
29,america loves loves america that’s i’m happy humbled judge judy sheindlin’s support judy womenformike
30,youth cigarette epidemic hands president doesnt buckle pressure tobacco industry ive led charge tobacco companies career ill white house president
31,ive led charge tobacco im stopping president ill direct fda ban flavored cigarettes
32,administration disregard peoples health safety holdup disaster aid puerto rico low
33,clean building initiative includes measures homeowners building owners tenants upgrade homes buildings save energy eliminate pollution we’ll prioritize people low income underserved communities
34,cutting emissions fast means dealing biggest emissions contributors building sector represents greenhouse gas emissions change
35,team
36,candidates spending time iowa hampshire campaign investing maine swing defeating donald trump america that’s i’m proud announce office scarborough
37,campaign hq hard
38,worried
39,coal clean energy future im proud
40,im running president management experience beat donald trump catching
41,foxes guarding henhouse bank robbers running treasury joker running department justice
42,attack vote attack constitution insult generations americans fought continue fight civil rights
43,supreme court ruled trumps plans apply wealth test immigrants applying green cards fallen tired poor huddled masses yearning free
44,democratic field focused nh ia trump operating speed battleground can’t afford advantage that’s i’m taking fight trump
45,democratic primary system handicapping party’s chances winning presidential elections reorder calendar reflect diversity electorate focus win november
46,person nation day
47,creating jobs isnt talk ive spent entire career
48,veterans ryan mcgill lot country military offer communities we’re giving opportunities succeed it’s time fight fought
49,trump economy history country watches stock ticker economy isnt americans create jobs grow incomes investing research talent amp infrastructure
50,love country sit sidelines stake support joining judge judy sheindlin campaign trail texas yesterday
51,dallas wrapping texas tour friends supported country stars texas bright americas future getitdone
52,road flip texas blue getitdone
53,we’re vermont syrup beer we’re vermont shares issues rest america climate change gun violence opioid epidemic defeat donald trump solve
54,spending weekend austin
55,bus cities riding getitdone express san antonio san marcos austin waco dallas flip texas blue
56,pictured saturday goal uniting country nation supporters rallying communities defeat trump getitdone support
57,people nation support campaign couldnt honored grateful hopeful future defeat donald trump rebuild america getitdone
58,pit stop san marcos tx bbq brisket coleslaw beans
59,texas gov abbott announced texas accept refugees tx president trump american policy president trumps attempts demonize scapegoat refugees immigrants
60,america loves loves america im happy humbled judge judy sheindlins support traveling texas bus tour judy
61,howdy texas i’m bus tour lone star meeting thousands texans care country future we’re change nation we’re
62,god trust bring data data drives economy drive priorities government era fake news alternative data save world
63,hurricane maria trump helped puerto rico throwing rolls paper towels playing politics federal aid earthquake displaced thousands he’s puerto rico
64,trump repeatedly declared election rigged
65,vote fundamental protects voter suppression expanding free fair access ballot preventing disenfranchising african americans partisan gerrymandering federal elections
66,trumps economy strong claims wages stagnant jobs clustered build economy americans country
67,trump administrations denial climate change doesnt real president understands urgency imminence climate crisis action
68,trump promised people ohio factories jobs safe promptly forgot factories closed jobs disappeared votes he’s empty promises
69,create jobs train people jobs connect employers education sec
70,scott cooper served country deployments iraq afghanistan hes tired trump administration’s empty promises real action helping veterans transition civilian life scott believes
71,mayor adopt legislation banning smoking bars restaurants cities lead heartening efforts saving lives mistake isnt
72,rolling epa regulations protect planet isnt anyones special president selling future bidder
73,lot candidates they’re create jobs creating jobs talk it’s i’ve spent career
74,ago trump travel ban muslim majority countries kickstarting divisive incendiary presidency muslims communities feel unwelcome trump doesnt understand diversity americas strength
75,can’t continue opportunity jobs clustered it’s prosperity divide trump worse love country sit sidelines amp watch happen here’s strategy
76,im minnesota visiting darin johnsons soybean farm family generations economy agenda focuses spreading jobs pay america communities dont left
77,ago unspeakable evil tucson friend
78,threats abroad neglect health safety fellow citizens home administration build team meets presidents basic responsibility keeping americans secure
79,cost housing food health care education increasing class wages aren’t keeping pace president i’ll raise minimum wage hr increase child tax credit american worker raise family poverty
80,president i’ll invest america’s valuable asset people rust belt bible belt we’ll lead major expansion apprenticeship programs invest community colleges connect americans jobs
81,trump counting economy lift victory he’s hoping career politician who’s created jobs i’ll economy won’t selling american people empty promises
82,national jobs strategy focuses helping people rural underserved communities local jobs disappear cities continue boom
83,starting day chicago’s south i’m rolling strategy bringing opportunity jobs communities country short changed trump administration
84,campaign we’re running people
85,marks liberation auschwitz statement holocaustmemorialday neveragain
86,opioid crisis national emergency lives families destroyed trump lot talk action continue president heres
87,ive supported candidates virginia tomorrow time decades democrats control assembly im proud played progress im hopeful means future va country
88,pleasure spending morning mayor
89,people puerto rico lot receiving support proud resilient emerge stronger mornings earthquake sending love island yorkers borough
90,support amendment gun violence tearing communities stop day wait lives lost stronger background checks guns hands people shouldn’t
91,glad judge judy corner support
92,live country stories normal unacceptable gun violence country true national emergency dedicated lifes combating president continue fight
93,people california integral fight defeat trump that’s we’re creating strongest operation california primary history we’re campaign offices ca
94,grabbed cup coffee friend fellow mayor
95,we’ll bring prescription drug prices countries negotiation we’ll revise law authorize medicare negotiate drug companies set upper limit negotiated price
96,people helped elect trump suffer takes credit thriving economy leaves i’ll american including communities opportunity succeed
97,past presidential campaigns california granted mistake we’re campaign offices golden starting office riverside
98,entrepreneurs veterans met bedrock american economy announced initiatives american entrepreneurs succeed
99,veterans management leadership potential average ceo spoke fuse founder sumner lee amp veterans leveraged military experience build businesses vets transition civilian life
100,spent morning
101,arrived california headlines progress trump’s failure act climate change november time elect president support efforts
102,trump pledged president we’ve veterans add list promises failed administration fix what’s broken solutions bring people who’ve served
103,president trumps proposed rollback environmental protections federal agencies ignore climate change assessing environmental impacts highways pipelines major infrastructure projects plan opposite
104,ive combat civilian life military competent trained people world that’s true glad share military veteran policy plans
105,i’ve stood lgbtq community fight equality justice we’ve progress honored lgbtq champions
106,americans paying prescription drugs brand drugs prices times countries can’t drug companies writing rules heres plan reduce america’s drug prices
107,promise lose sight tremendous sacrifice veterans military families day country repays debt owe
108,unquestionable unacceptable truth women’s healthcare system country doesn’t treat women equally change change here’s start
109,trump continues drag backwards fight climate crisis maintains outright denial climate change australia burning change leadership
110,start decade americans focused resolutions grand plans future i’ve found helpful approach
111,recently met christina lost daughter overdose courage runs sober living house struggling recovering ill forget conversation story common accept
112,campaign isn’t leaving north carolina defeat donald trump
113,support veterans military families transition civilian life government provide resources engage private sector
114,veterans employed that’s moral failure it’s president i’ll vets jobs advantage training teach skills resources start businesses
115,visited fayetteville nc home ft bragg honor speaking military issues transitioning civilian life country repays debt owe
116,north carolina volunteers raleigh office
117,rising cost prescription drugs forced families choose maintaining health debt president trump promised guess happened
118,president day repay debt owe veterans starting helping succeed civilian workforce i’m announcing proposals increase opportunities veterans
119,statement killing qassem soleimani
120,nyt trumps proposals weaken major environmental regulations odds established science trumps appointees
121,womans access abortion isnt privilege fundamental law land ive supported reproductive health mayor philanthropist president appoint judges preserve roe
122,stand
123,democrats defeat donald trump power signed
124,father taught opportunity obligation act country opportunities fortunate
125,american territories overlooked primary process voice role play election im forward
126,womens health country attack african american women time women resources care deserve here’s plan
127,time sew puerto rico’s star national flag president voters ready begin stitching i’ll bring congress country read op ed
128,president ill east office plan i’ll sit team i’ll oval office official functions tweeting rest time i’ll leader team
129,president i’ll instate initiatives designed decrease disparities maternal health outcomes country reduce disproportionately maternal mortality rate women color
130,chance talk local doctors experts womens childrens health underserved communities al country african american women access quality affordable healthcare president i‘ll change
131,couldnt
132,earlier mayor
133,mayor
134,women’s health attack trump administration leading charge restricting women’s access reproductive sexual health services amp worsening disparities care white amp african american women heres ill
135,start americans care stopping gun violence fighting climate change improving schools creating jobs pay living wage that’s i’ll president
136,beat cancer rep john lewis team pulling
137,trump spends days dividing people insulting people complaining i’ve spent life bringing people motivating amp that’s real leadership amp that’s bring washington
138,bigger texas texas biggest battleground democrats win i’m fight hell speak texans issues matter
139,engineer im appalled citizen im outraged president ensure policies actions driven research science
140,afternoon spent door door dr
141,church houston morning church shooting fort worth couldve happened sanctuaries safe action stop
142,i’m honored chance address
143,american yorker jew shocked saddened night’s attack horrified rise anti semitism country america founded people religions worship safely amp free persecution
144,we’re building unrivaled team texas blue ballot including headquarter houston field offices rest march primary
145,trump easier corporations poison water stand
146,america pays health care country costs leaving millions americans money meet unacceptable here’s plan
147,donald trump campaigning key swing democratic campaign focused taking trump key swing country win november afford wait
148,puerto ricos poverty rate impose federally controlled debt restructuring process stunts ability care people can’t continue create government financial system helps pr hindering
149,day average americans die opioid overdose someones son daughter brother sister loved epidemic national emergency respond here’s plan
150,love country sit hope national worse i’ve supported led issues democrats care left city hall
151,feliz navidad felices fiestas
152,hard staff families incredible kids
153,merry christmas feliz navidad language peace goodwill
154,earlier news outlet accurately reported subcontractor vendors prison workers phone calls behalf campaign learning immediately relationship company statement
155,trump start
156,president trump concerned bald eagle wouldnt gutted endangered species act saved
157,light candle menorah tonight hanukkah calls offer gratitude celebrate hope day chag sameach
158,puerto ricans deserve we’ve country treated class citizens here’s invest term success pr provide stability equity deserve
159,democratic party wisely chose milwaukee host democratic national convention realizing election haul wisconsin field office tonight
160,detroit city hit hard times country walking streets meeting people hope progress future
161,defeat trump bringing fight straight campaign offices battleground pennsylvania hardworking team philadelphia office running holidays
162,tasting holiday treats campaign trail philly institution
163,run president learn day
