doc_id,text
1,night north liberty iowa youre ready page win
2,ago houston spoke presidents muslim ban day presidency
3,troubled times walk hope day live dr martin luther king jr legacy tied single garment destiny build american future defined exclusion belonging
4,killings sri lanka shock times rising terrorism foreigners minorities worship america lead world resisting deadly hatred
5,shot time page
6,person stand front capitol oath preserve protect defend constitution president trial violating oath page washington’s broken politics
7,i’m joining
8,doris miller hero pearl harbor african american awarded navy cross african american aircraft carrier namesake join navy women saluting
9,nation fall short dream dr martin luther king jr called america live values day service remembrance recommit continuing page unity justice
10,i’m joining wethepeople presidential forum discuss we’ll page political system presidency prioritizes corporations people tune
11,day receive letters folks country stories struggle stories hope letters heart movement i’d share days
12,proud moment children grandchildren shot page chose future
13,tomorrow i’ll joining citizens united forum conversation democracy tune
14,immigration central american story empower contribute chapters story create barriers opportunity isnt wrong hurting america’s future
15,medicare makes there’s uninsured american trusting pick plan family read plan
16,future doesn’t dark days we’ll begin page
17,crises climate change health care poverty politicians political warfare acting lives can’t wait washington
18,it’s time protect women’s health it’s time equal representation women government it’s time close pay gap it’s time page build women’s power economy politics society womensmarch
19,you’re voting party kids eye explain president join exhausted spectacle division dysfunction join page politics
20,it’s time page you’re ready join
21,tuesday night stepped demdebate stage determined shot you’re ready page join
22,forward continuing conversation ushering era inclusion people disabilities
23,senate republicans wont act hold president accountable remove office word american people ballot boxes country
24,messages americans hear create inclusive society priorities engage disability community
25,commit dismantling institutions discriminate people disabilities administration include disabled people listen advocate community cripthevote
26,running serve unify diverse nation i’ve priority build campaign reflects americans including disabled community
27,plans strengthen rights supports people disabilities issues impact community plan intersectional recognizing disability visible invisible challenges urgent combat disparities
28,society built physical invisible obstacles people disabilities disability community tired tired voices heard tired strongest advocates tired struggling basic access
29,i’ve committed accessible inclusive campaign staff volunteers folks meet day reflects culture belonging country developed plan diverse leaders disability community cripthevote
30,you’re progressive ready meet challenges bold solutions future republican disgusted president’s actions movement welcomes page future
31,priorities achieve universal health coverage protect choice page future americans
32,estoy postulando para ser el presidente recogerá las piezas de una nación dividida nos pueda unificar nos guiará una acción real por el futuro
33,ratifying equal rights amendment step ongoing reach true gender equality overdue time page inclusive equitable america
34,ago president fanned flames hatred muslim travel ban day office united prided diversity
